data_dir_root: /home/jzf/Tasks__Gestures_Classification/3DCDC-NAS/Dataset
dataset_splits: /home/jzf/Tasks__Gestures_Classification/3DCDC-NAS/dataset_splits
init_model: /home/jzf/Tasks__Gestures_Classification/3DCDC-NAS/AutoGesture/checkpoints/epoch26-MK-valid_0.6004-test_0.6224.pth
visname: AutoGesture_AUG_RGBD
num_classes: 249
batch_size: 2
testing_batch_size: 16
num_workers: 4
learning_rate: 0.01
momentum: 0.9
weight_decay: 5e-05
init_epochs: 0
max_epochs: 5
print_freq: 5
pretrain: True
sample_duration: 32
init_channels8: 48
init_channels16: 32
init_channels32: 16
layers: 12
====================
load from AutoGesture_RGBD_Con_shared_DiffChannels
Load state dict...
init.xavier_normal_(model.classifier.weight)
Load module Finished
====================
Start load Data...
Load <IsoGD>  Dataset!
====================
Start training...
 Training [ 0/ 5,    4/ 190] 	 Loss: 5.6918(5.5206) 	 [datatime: 0.695] 	 [batchtime: 1.781] 	 @05.01 20:36:31
 Training [ 0/ 5,    9/ 190] 	 Loss: 5.5983(5.4808) 	 [datatime: 0.490] 	 [batchtime: 1.240] 	 @05.01 20:36:34
 Training [ 0/ 5,   14/ 190] 	 Loss: 5.6055(5.5059) 	 [datatime: 0.421] 	 [batchtime: 1.058] 	 @05.01 20:36:38
 Training [ 0/ 5,   19/ 190] 	 Loss: 5.8599(5.5297) 	 [datatime: 0.385] 	 [batchtime: 0.966] 	 @05.01 20:36:41
 Training [ 0/ 5,   24/ 190] 	 Loss: 5.4807(5.5247) 	 [datatime: 0.364] 	 [batchtime: 0.913] 	 @05.01 20:36:45
 Training [ 0/ 5,   29/ 190] 	 Loss: 5.7391(5.5573) 	 [datatime: 0.348] 	 [batchtime: 0.876] 	 @05.01 20:36:48
 Training [ 0/ 5,   34/ 190] 	 Loss: 5.5435(5.5649) 	 [datatime: 0.339] 	 [batchtime: 0.851] 	 @05.01 20:36:52
 Training [ 0/ 5,   39/ 190] 	 Loss: 5.3494(5.5499) 	 [datatime: 0.332] 	 [batchtime: 0.832] 	 @05.01 20:36:55
 Training [ 0/ 5,   44/ 190] 	 Loss: 5.6660(5.5440) 	 [datatime: 0.325] 	 [batchtime: 0.817] 	 @05.01 20:36:59
 Training [ 0/ 5,   49/ 190] 	 Loss: 5.7711(5.5618) 	 [datatime: 0.322] 	 [batchtime: 0.807] 	 @05.01 20:37:02
 Training [ 0/ 5,   54/ 190] 	 Loss: 5.5435(5.5588) 	 [datatime: 0.320] 	 [batchtime: 0.799] 	 @05.01 20:37:06
 Training [ 0/ 5,   59/ 190] 	 Loss: 5.6417(5.5661) 	 [datatime: 0.319] 	 [batchtime: 0.793] 	 @05.01 20:37:09
 Training [ 0/ 5,   64/ 190] 	 Loss: 5.4875(5.5645) 	 [datatime: 0.318] 	 [batchtime: 0.787] 	 @05.01 20:37:13
 Training [ 0/ 5,   69/ 190] 	 Loss: 5.6122(5.5694) 	 [datatime: 0.316] 	 [batchtime: 0.784] 	 @05.01 20:37:17
 Training [ 0/ 5,   74/ 190] 	 Loss: 5.7910(5.5726) 	 [datatime: 0.315] 	 [batchtime: 0.780] 	 @05.01 20:37:20
 Training [ 0/ 5,   79/ 190] 	 Loss: 5.8208(5.5718) 	 [datatime: 0.315] 	 [batchtime: 0.777] 	 @05.01 20:37:24
 Training [ 0/ 5,   84/ 190] 	 Loss: 5.5430(5.5782) 	 [datatime: 0.314] 	 [batchtime: 0.774] 	 @05.01 20:37:28
 Training [ 0/ 5,   89/ 190] 	 Loss: 5.4207(5.5822) 	 [datatime: 0.312] 	 [batchtime: 0.770] 	 @05.01 20:37:31
 Training [ 0/ 5,   94/ 190] 	 Loss: 5.5430(5.5751) 	 [datatime: 0.310] 	 [batchtime: 0.766] 	 @05.01 20:37:35
 Training [ 0/ 5,   99/ 190] 	 Loss: 5.4646(5.5831) 	 [datatime: 0.308] 	 [batchtime: 0.762] 	 @05.01 20:37:38
 Training [ 0/ 5,  104/ 190] 	 Loss: 5.5135(5.5723) 	 [datatime: 0.307] 	 [batchtime: 0.759] 	 @05.01 20:37:42
 Training [ 0/ 5,  109/ 190] 	 Loss: 5.7876(5.5725) 	 [datatime: 0.305] 	 [batchtime: 0.756] 	 @05.01 20:37:45
 Training [ 0/ 5,  114/ 190] 	 Loss: 5.8114(5.5719) 	 [datatime: 0.304] 	 [batchtime: 0.753] 	 @05.01 20:37:49
 Training [ 0/ 5,  119/ 190] 	 Loss: 5.3976(5.5680) 	 [datatime: 0.302] 	 [batchtime: 0.751] 	 @05.01 20:37:52
 Training [ 0/ 5,  124/ 190] 	 Loss: 5.7405(5.5661) 	 [datatime: 0.301] 	 [batchtime: 0.749] 	 @05.01 20:37:56
 Training [ 0/ 5,  129/ 190] 	 Loss: 5.6230(5.5688) 	 [datatime: 0.300] 	 [batchtime: 0.747] 	 @05.01 20:37:59
 Training [ 0/ 5,  134/ 190] 	 Loss: 5.7150(5.5656) 	 [datatime: 0.299] 	 [batchtime: 0.745] 	 @05.01 20:38:02
 Training [ 0/ 5,  139/ 190] 	 Loss: 5.5670(5.5663) 	 [datatime: 0.299] 	 [batchtime: 0.743] 	 @05.01 20:38:06
 Training [ 0/ 5,  144/ 190] 	 Loss: 5.9469(5.5699) 	 [datatime: 0.299] 	 [batchtime: 0.742] 	 @05.01 20:38:10
 Training [ 0/ 5,  149/ 190] 	 Loss: 5.6871(5.5730) 	 [datatime: 0.298] 	 [batchtime: 0.741] 	 @05.01 20:38:13
 Training [ 0/ 5,  154/ 190] 	 Loss: 5.0583(5.5714) 	 [datatime: 0.297] 	 [batchtime: 0.739] 	 @05.01 20:38:16
 Training [ 0/ 5,  159/ 190] 	 Loss: 5.7157(5.5724) 	 [datatime: 0.297] 	 [batchtime: 0.738] 	 @05.01 20:38:20
 Training [ 0/ 5,  164/ 190] 	 Loss: 5.3721(5.5720) 	 [datatime: 0.297] 	 [batchtime: 0.737] 	 @05.01 20:38:24
 Training [ 0/ 5,  169/ 190] 	 Loss: 5.9848(5.5727) 	 [datatime: 0.297] 	 [batchtime: 0.736] 	 @05.01 20:38:27
 Training [ 0/ 5,  174/ 190] 	 Loss: 5.7362(5.5776) 	 [datatime: 0.296] 	 [batchtime: 0.736] 	 @05.01 20:38:31
 Training [ 0/ 5,  179/ 190] 	 Loss: 5.2031(5.5762) 	 [datatime: 0.297] 	 [batchtime: 0.737] 	 @05.01 20:38:35
 Training [ 0/ 5,  184/ 190] 	 Loss: 5.3447(5.5750) 	 [datatime: 0.298] 	 [batchtime: 0.738] 	 @05.01 20:38:39
 Training [ 0/ 5,  189/ 190] 	 Loss: 5.7421(5.5748) 	 [datatime: 0.299] 	 [batchtime: 0.741] 	 @05.01 20:38:43
 Training [ 1/ 5,    4/ 190] 	 Loss: 5.4973(5.5674) 	 [datatime: 0.354] 	 [batchtime: 0.777] 	 @05.01 20:38:52
 Training [ 1/ 5,    9/ 190] 	 Loss: 5.4111(5.4997) 	 [datatime: 0.321] 	 [batchtime: 0.739] 	 @05.01 20:38:56
 Training [ 1/ 5,   14/ 190] 	 Loss: 5.6460(5.5034) 	 [datatime: 0.308] 	 [batchtime: 0.729] 	 @05.01 20:38:59
 Training [ 1/ 5,   19/ 190] 	 Loss: 5.9006(5.5436) 	 [datatime: 0.302] 	 [batchtime: 0.718] 	 @05.01 20:39:03
 Training [ 1/ 5,   24/ 190] 	 Loss: 5.5577(5.5613) 	 [datatime: 0.297] 	 [batchtime: 0.710] 	 @05.01 20:39:06
 Training [ 1/ 5,   29/ 190] 	 Loss: 5.5094(5.5455) 	 [datatime: 0.294] 	 [batchtime: 0.705] 	 @05.01 20:39:10
 Training [ 1/ 5,   34/ 190] 	 Loss: 5.3435(5.5576) 	 [datatime: 0.293] 	 [batchtime: 0.702] 	 @05.01 20:39:13
 Training [ 1/ 5,   39/ 190] 	 Loss: 5.2674(5.5582) 	 [datatime: 0.290] 	 [batchtime: 0.699] 	 @05.01 20:39:16
 Training [ 1/ 5,   44/ 190] 	 Loss: 5.7826(5.5562) 	 [datatime: 0.289] 	 [batchtime: 0.696] 	 @05.01 20:39:20
 Training [ 1/ 5,   49/ 190] 	 Loss: 6.0566(5.5478) 	 [datatime: 0.288] 	 [batchtime: 0.694] 	 @05.01 20:39:23
 Training [ 1/ 5,   54/ 190] 	 Loss: 5.3487(5.5520) 	 [datatime: 0.287] 	 [batchtime: 0.693] 	 @05.01 20:39:27
 Training [ 1/ 5,   59/ 190] 	 Loss: 5.1487(5.5513) 	 [datatime: 0.287] 	 [batchtime: 0.692] 	 @05.01 20:39:30
 Training [ 1/ 5,   64/ 190] 	 Loss: 5.3617(5.5509) 	 [datatime: 0.285] 	 [batchtime: 0.690] 	 @05.01 20:39:33
 Training [ 1/ 5,   69/ 190] 	 Loss: 5.3963(5.5546) 	 [datatime: 0.284] 	 [batchtime: 0.690] 	 @05.01 20:39:37
